Wed Aug 17 17:42:05 BST 2016 : 143346 created, 250 running, 140044 backlog, 3052 processed, 0 failed
Wed Aug 17 17:43:05 BST 2016 : 143346 created, 250 running, 139949 backlog, 3147 processed, 0 failed
Wed Aug 17 17:44:05 BST 2016 : 143346 created, 250 running, 139931 backlog, 3165 processed, 0 failed
Wed Aug 17 17:45:05 BST 2016 : 143346 created, 250 running, 139844 backlog, 3252 processed, 0 failed
Wed Aug 17 17:46:06 BST 2016 : 143346 created, 250 running, 139831 backlog, 3265 processed, 0 failed
Wed Aug 17 17:47:06 BST 2016 : 143346 created, 250 running, 139765 backlog, 3331 processed, 0 failed
Wed Aug 17 17:48:06 BST 2016 : 143346 created, 250 running, 139749 backlog, 3347 processed, 0 failed
Wed Aug 17 17:49:06 BST 2016 : 143346 created, 250 running, 139645 backlog, 3451 processed, 0 failed
Wed Aug 17 17:50:06 BST 2016 : 143346 created, 250 running, 139615 backlog, 3481 processed, 0 failed
Wed Aug 17 17:51:06 BST 2016 : 143346 created, 250 running, 139476 backlog, 3620 processed, 0 failed
Wed Aug 17 17:52:06 BST 2016 : 143346 created, 250 running, 139447 backlog, 3649 processed, 0 failed
Wed Aug 17 17:53:06 BST 2016 : 143346 created, 250 running, 139349 backlog, 3747 processed, 0 failed
Wed Aug 17 17:54:06 BST 2016 : 143346 created, 250 running, 139327 backlog, 3769 processed, 0 failed
Wed Aug 17 17:55:06 BST 2016 : 143346 created, 250 running, 139216 backlog, 3880 processed, 0 failed
Wed Aug 17 17:56:06 BST 2016 : 143346 created, 250 running, 139175 backlog, 3921 processed, 0 failed
Wed Aug 17 17:57:06 BST 2016 : 143346 created, 249 running, 139019 backlog, 4077 processed, 0 failed
Wed Aug 17 17:58:06 BST 2016 : 143346 created, 250 running, 138985 backlog, 4111 processed, 0 failed
Wed Aug 17 17:59:06 BST 2016 : 143346 created, 250 running, 138867 backlog, 4229 processed, 0 failed
Wed Aug 17 18:00:06 BST 2016 : 143346 created, 250 running, 138826 backlog, 4270 processed, 0 failed
Wed Aug 17 18:01:06 BST 2016 : 143346 created, 250 running, 138661 backlog, 4435 processed, 0 failed
Wed Aug 17 18:02:06 BST 2016 : 143346 created, 250 running, 138582 backlog, 4514 processed, 0 failed
Wed Aug 17 18:03:06 BST 2016 : 143346 created, 250 running, 138423 backlog, 4673 processed, 0 failed
Wed Aug 17 18:04:06 BST 2016 : 143346 created, 250 running, 138365 backlog, 4731 processed, 0 failed
Wed Aug 17 18:05:06 BST 2016 : 143346 created, 250 running, 138300 backlog, 4796 processed, 0 failed
Wed Aug 17 18:06:06 BST 2016 : 143346 created, 250 running, 138271 backlog, 4825 processed, 0 failed
Wed Aug 17 18:07:06 BST 2016 : 143346 created, 250 running, 138139 backlog, 4957 processed, 0 failed
Wed Aug 17 18:08:06 BST 2016 : 143346 created, 250 running, 138063 backlog, 5033 processed, 0 failed
Wed Aug 17 18:09:06 BST 2016 : 143346 created, 249 running, 137921 backlog, 5175 processed, 0 failed
Wed Aug 17 18:10:06 BST 2016 : 143346 created, 250 running, 137873 backlog, 5223 processed, 0 failed
Wed Aug 17 18:11:06 BST 2016 : 143346 created, 250 running, 137796 backlog, 5300 processed, 0 failed
Wed Aug 17 18:12:06 BST 2016 : 143346 created, 250 running, 137749 backlog, 5347 processed, 0 failed
Wed Aug 17 18:13:06 BST 2016 : 143346 created, 250 running, 137617 backlog, 5479 processed, 0 failed
Wed Aug 17 18:14:06 BST 2016 : 143346 created, 250 running, 137526 backlog, 5570 processed, 0 failed
Wed Aug 17 18:15:06 BST 2016 : 143346 created, 250 running, 137401 backlog, 5695 processed, 0 failed
Wed Aug 17 18:16:06 BST 2016 : 143346 created, 250 running, 137326 backlog, 5770 processed, 0 failed
Wed Aug 17 18:17:06 BST 2016 : 143346 created, 250 running, 137216 backlog, 5880 processed, 0 failed
Wed Aug 17 18:18:06 BST 2016 : 143346 created, 250 running, 137129 backlog, 5967 processed, 0 failed
Wed Aug 17 18:19:06 BST 2016 : 143346 created, 250 running, 137045 backlog, 6051 processed, 0 failed
Wed Aug 17 18:20:06 BST 2016 : 143346 created, 250 running, 136999 backlog, 6097 processed, 0 failed
Wed Aug 17 18:21:06 BST 2016 : 143346 created, 250 running, 136931 backlog, 6165 processed, 0 failed
Wed Aug 17 18:22:06 BST 2016 : 143346 created, 250 running, 136851 backlog, 6245 processed, 0 failed
Wed Aug 17 18:23:06 BST 2016 : 143346 created, 250 running, 136759 backlog, 6337 processed, 0 failed
Wed Aug 17 18:24:06 BST 2016 : 143346 created, 250 running, 136709 backlog, 6387 processed, 0 failed
Wed Aug 17 18:25:06 BST 2016 : 143346 created, 250 running, 136686 backlog, 6410 processed, 0 failed
Wed Aug 17 18:26:06 BST 2016 : 143346 created, 250 running, 136664 backlog, 6432 processed, 0 failed
Wed Aug 17 18:27:06 BST 2016 : 143346 created, 250 running, 136587 backlog, 6509 processed, 0 failed
Wed Aug 17 18:28:06 BST 2016 : 143346 created, 250 running, 136499 backlog, 6597 processed, 0 failed
Wed Aug 17 18:29:06 BST 2016 : 143346 created, 250 running, 136460 backlog, 6636 processed, 0 failed
Wed Aug 17 18:30:06 BST 2016 : 143346 created, 250 running, 136450 backlog, 6646 processed, 0 failed
Wed Aug 17 18:31:06 BST 2016 : 143346 created, 250 running, 136437 backlog, 6659 processed, 0 failed
Wed Aug 17 18:32:06 BST 2016 : 143346 created, 250 running, 136408 backlog, 6688 processed, 0 failed
Wed Aug 17 18:33:06 BST 2016 : 143346 created, 250 running, 136391 backlog, 6705 processed, 0 failed
Wed Aug 17 18:34:06 BST 2016 : 143346 created, 250 running, 136377 backlog, 6719 processed, 0 failed
Wed Aug 17 18:35:06 BST 2016 : 143346 created, 250 running, 136334 backlog, 6762 processed, 0 failed
Wed Aug 17 18:36:06 BST 2016 : 143346 created, 250 running, 136312 backlog, 6784 processed, 0 failed
Wed Aug 17 18:37:07 BST 2016 : 143346 created, 250 running, 136301 backlog, 6795 processed, 0 failed
Wed Aug 17 18:38:07 BST 2016 : 143346 created, 250 running, 136291 backlog, 6805 processed, 0 failed
Wed Aug 17 18:39:07 BST 2016 : 143346 created, 250 running, 136269 backlog, 6827 processed, 0 failed
Wed Aug 17 18:40:07 BST 2016 : 143346 created, 250 running, 136253 backlog, 6843 processed, 0 failed
Wed Aug 17 18:41:07 BST 2016 : 143346 created, 250 running, 136220 backlog, 6876 processed, 0 failed
Wed Aug 17 18:42:07 BST 2016 : 143346 created, 250 running, 136189 backlog, 6907 processed, 0 failed
Wed Aug 17 18:43:07 BST 2016 : 143346 created, 250 running, 136165 backlog, 6931 processed, 0 failed
Wed Aug 17 18:44:07 BST 2016 : 143346 created, 250 running, 136117 backlog, 6979 processed, 0 failed
Wed Aug 17 18:45:07 BST 2016 : 143346 created, 250 running, 136076 backlog, 7020 processed, 0 failed
Wed Aug 17 18:46:07 BST 2016 : 143346 created, 250 running, 136031 backlog, 7065 processed, 0 failed
Wed Aug 17 18:47:07 BST 2016 : 143346 created, 250 running, 135982 backlog, 7114 processed, 0 failed
Wed Aug 17 18:48:07 BST 2016 : 143346 created, 250 running, 135934 backlog, 7162 processed, 0 failed
Wed Aug 17 18:49:07 BST 2016 : 143346 created, 250 running, 135875 backlog, 7221 processed, 0 failed
Wed Aug 17 18:50:07 BST 2016 : 143346 created, 250 running, 135807 backlog, 7289 processed, 0 failed
Wed Aug 17 18:51:07 BST 2016 : 143346 created, 250 running, 135714 backlog, 7382 processed, 0 failed
Wed Aug 17 18:52:07 BST 2016 : 143346 created, 250 running, 135604 backlog, 7492 processed, 0 failed
Wed Aug 17 18:53:07 BST 2016 : 143346 created, 250 running, 135486 backlog, 7610 processed, 0 failed
Wed Aug 17 18:54:07 BST 2016 : 143346 created, 250 running, 135384 backlog, 7712 processed, 0 failed
Wed Aug 17 18:55:07 BST 2016 : 143346 created, 250 running, 135315 backlog, 7781 processed, 0 failed
Wed Aug 17 18:56:07 BST 2016 : 143346 created, 250 running, 135294 backlog, 7802 processed, 0 failed
Wed Aug 17 18:57:07 BST 2016 : 143346 created, 250 running, 135242 backlog, 7854 processed, 0 failed
Wed Aug 17 18:58:07 BST 2016 : 143346 created, 250 running, 135123 backlog, 7973 processed, 0 failed
Wed Aug 17 18:59:07 BST 2016 : 143346 created, 250 running, 135003 backlog, 8093 processed, 0 failed
Wed Aug 17 19:00:07 BST 2016 : 143346 created, 250 running, 134895 backlog, 8201 processed, 0 failed
Wed Aug 17 19:01:07 BST 2016 : 143346 created, 250 running, 134816 backlog, 8280 processed, 0 failed
Wed Aug 17 19:02:07 BST 2016 : 143346 created, 250 running, 134786 backlog, 8310 processed, 0 failed
Wed Aug 17 19:03:07 BST 2016 : 143346 created, 250 running, 134712 backlog, 8384 processed, 0 failed
Wed Aug 17 19:04:07 BST 2016 : 143346 created, 250 running, 134583 backlog, 8513 processed, 0 failed
Wed Aug 17 19:05:07 BST 2016 : 143346 created, 249 running, 134469 backlog, 8627 processed, 0 failed
Wed Aug 17 19:06:07 BST 2016 : 143346 created, 250 running, 134339 backlog, 8757 processed, 0 failed
Wed Aug 17 19:07:07 BST 2016 : 143346 created, 250 running, 134225 backlog, 8871 processed, 0 failed
Wed Aug 17 19:08:07 BST 2016 : 143346 created, 250 running, 134089 backlog, 9007 processed, 0 failed
Wed Aug 17 19:09:07 BST 2016 : 143346 created, 250 running, 133978 backlog, 9118 processed, 0 failed
Wed Aug 17 19:10:07 BST 2016 : 143346 created, 250 running, 133859 backlog, 9237 processed, 0 failed
Wed Aug 17 19:11:07 BST 2016 : 143346 created, 250 running, 133810 backlog, 9286 processed, 0 failed
Wed Aug 17 19:12:07 BST 2016 : 143346 created, 250 running, 133792 backlog, 9304 processed, 0 failed
Wed Aug 17 19:13:07 BST 2016 : 143346 created, 250 running, 133716 backlog, 9380 processed, 0 failed
Wed Aug 17 19:14:07 BST 2016 : 143346 created, 250 running, 133580 backlog, 9516 processed, 0 failed
Wed Aug 17 19:15:07 BST 2016 : 143346 created, 250 running, 133486 backlog, 9610 processed, 0 failed
Wed Aug 17 19:16:07 BST 2016 : 143346 created, 250 running, 133352 backlog, 9744 processed, 0 failed
Wed Aug 17 19:17:07 BST 2016 : 143346 created, 250 running, 133302 backlog, 9794 processed, 0 failed
Wed Aug 17 19:18:07 BST 2016 : 143346 created, 250 running, 133277 backlog, 9819 processed, 0 failed
Wed Aug 17 19:19:07 BST 2016 : 143346 created, 250 running, 133234 backlog, 9862 processed, 0 failed
Wed Aug 17 19:20:07 BST 2016 : 143346 created, 250 running, 133075 backlog, 10021 processed, 0 failed
Wed Aug 17 19:21:07 BST 2016 : 143346 created, 250 running, 132987 backlog, 10109 processed, 0 failed
Wed Aug 17 19:22:07 BST 2016 : 143346 created, 250 running, 132868 backlog, 10228 processed, 0 failed
Wed Aug 17 19:23:07 BST 2016 : 143346 created, 250 running, 132806 backlog, 10290 processed, 0 failed
Wed Aug 17 19:24:07 BST 2016 : 143346 created, 250 running, 132756 backlog, 10340 processed, 0 failed
Wed Aug 17 19:25:07 BST 2016 : 143346 created, 250 running, 132667 backlog, 10429 processed, 0 failed
Wed Aug 17 19:26:07 BST 2016 : 143346 created, 250 running, 132506 backlog, 10590 processed, 0 failed
Wed Aug 17 19:27:07 BST 2016 : 143346 created, 250 running, 132417 backlog, 10679 processed, 0 failed
Wed Aug 17 19:28:07 BST 2016 : 143346 created, 250 running, 132282 backlog, 10814 processed, 0 failed
Wed Aug 17 19:29:07 BST 2016 : 143346 created, 250 running, 132259 backlog, 10837 processed, 0 failed
Wed Aug 17 19:30:07 BST 2016 : 143346 created, 250 running, 132233 backlog, 10863 processed, 0 failed
Wed Aug 17 19:31:07 BST 2016 : 143346 created, 250 running, 132167 backlog, 10929 processed, 0 failed
Wed Aug 17 19:32:07 BST 2016 : 143346 created, 250 running, 132008 backlog, 11088 processed, 0 failed
Wed Aug 17 19:33:07 BST 2016 : 143346 created, 250 running, 131926 backlog, 11170 processed, 0 failed
Wed Aug 17 19:34:07 BST 2016 : 143346 created, 250 running, 131828 backlog, 11268 processed, 0 failed
Wed Aug 17 19:35:07 BST 2016 : 143346 created, 250 running, 131758 backlog, 11338 processed, 0 failed
Wed Aug 17 19:36:07 BST 2016 : 143346 created, 250 running, 131608 backlog, 11488 processed, 0 failed
Wed Aug 17 19:37:07 BST 2016 : 143346 created, 250 running, 131536 backlog, 11560 processed, 0 failed
Wed Aug 17 19:38:07 BST 2016 : 143346 created, 250 running, 131417 backlog, 11679 processed, 0 failed
Wed Aug 17 19:39:07 BST 2016 : 143346 created, 250 running, 131381 backlog, 11715 processed, 0 failed
Wed Aug 17 19:40:07 BST 2016 : 143346 created, 250 running, 131359 backlog, 11737 processed, 0 failed
Wed Aug 17 19:41:07 BST 2016 : 143346 created, 250 running, 131311 backlog, 11785 processed, 0 failed
Wed Aug 17 19:42:07 BST 2016 : 143346 created, 250 running, 131177 backlog, 11919 processed, 0 failed
Wed Aug 17 19:43:07 BST 2016 : 143346 created, 250 running, 131142 backlog, 11954 processed, 0 failed
Wed Aug 17 19:44:07 BST 2016 : 143346 created, 250 running, 131115 backlog, 11981 processed, 0 failed
Wed Aug 17 19:45:07 BST 2016 : 143346 created, 250 running, 131076 backlog, 12020 processed, 0 failed
Wed Aug 17 19:46:07 BST 2016 : 143346 created, 250 running, 131028 backlog, 12068 processed, 0 failed
Wed Aug 17 19:47:07 BST 2016 : 143346 created, 250 running, 130951 backlog, 12145 processed, 0 failed
Wed Aug 17 19:48:07 BST 2016 : 143346 created, 250 running, 130815 backlog, 12281 processed, 0 failed
Wed Aug 17 19:49:08 BST 2016 : 143346 created, 250 running, 130804 backlog, 12292 processed, 0 failed
Wed Aug 17 19:50:08 BST 2016 : 143346 created, 250 running, 130771 backlog, 12325 processed, 0 failed
Wed Aug 17 19:51:08 BST 2016 : 143346 created, 250 running, 130736 backlog, 12360 processed, 0 failed
Wed Aug 17 19:52:08 BST 2016 : 143346 created, 249 running, 130672 backlog, 12424 processed, 0 failed
Wed Aug 17 19:53:08 BST 2016 : 143346 created, 250 running, 130604 backlog, 12492 processed, 0 failed
Wed Aug 17 19:54:08 BST 2016 : 143346 created, 250 running, 130482 backlog, 12614 processed, 0 failed
Wed Aug 17 19:55:08 BST 2016 : 143346 created, 250 running, 130398 backlog, 12698 processed, 0 failed
