  0,   0,  50, 0.0
  0,   0,  50, 0.01
  0,   0, 100, 0.02
  0,   0, 100, 0.03
  0,   0, 200, 0.04
  0,   0, 255, 0.05
 80,  20,  10, 0.06
100,  30,  20, 0.07
100,  50,  30, 0.08
 80,  60,  40, 0.09
 60,  80,  40, 0.10
 20,  80,  20, 0.11
 30, 100,  30, 0.12
 40, 120,  40, 0.13
 50, 140,  50, 0.14
 60, 160,  50, 0.15
 80, 180,  30, 0.16
100, 160,  20, 0.17
110, 150,  10, 0.18
120, 140,  10, 0.19
140, 120,   0, 0.20
130, 110,   0, 0.21
125,  99,   0, 0.22
120,  80,   0, 0.23
111,  75,   0, 0.24
120,  82,   7, 0.25
126,  91,  14, 0.26
126,  91,  14, 0.27
141, 108,  28, 0.28
141, 108,  28, 0.29
156, 125,  42, 0.30
156, 125,  42, 0.31
171, 142,  56, 0.32
171, 142,  56, 0.33
171, 142,  56, 0.34
186, 159,  71, 0.35
186, 159,  71, 0.36
201, 176,  85, 0.37
201, 176,  85, 0.38
201, 176,  85, 0.39
216, 193,  99, 0.40
216, 193,  99, 0.41
216, 193,  99, 0.42
216, 193,  99, 0.43
216, 193,  99, 0.44
231, 210, 113, 0.45
231, 210, 113, 0.46
231, 210, 113, 0.47
231, 210, 113, 0.48
231, 210, 113, 0.49
240, 220, 120, 0.50
240, 220, 120, 0.51
240, 220, 120, 0.52
240, 220, 120, 0.53
240, 220, 120, 0.54
246, 225, 135, 0.55
246, 225, 135, 0.56
246, 225, 135, 0.57
246, 225, 135, 0.58
246, 225, 135, 0.59
246, 235, 155, 0.60
246, 235, 155, 0.61
246, 235, 155, 0.62
246, 235, 155, 0.63
246, 235, 155, 0.64
240, 240, 180, 0.65
240, 240, 180, 0.66
240, 240, 180, 0.67
250, 250, 210, 0.68
250, 250, 210, 0.69
250, 250, 210, 0.70
250, 250, 210, 0.71
250, 250, 210, 0.72
230, 253, 200, 0.73
230, 253, 200, 0.74
230, 253, 200, 0.75
230, 253, 200, 0.76
220, 230, 240, 0.77
220, 230, 240, 0.78
220, 230, 240, 0.79
220, 230, 240, 0.80
220, 230, 240, 0.81
220, 230, 240, 0.82
220, 230, 240, 0.83
220, 230, 240, 0.84
220, 230, 240, 0.85
220, 230, 240, 0.86
220, 230, 240, 0.87
220, 230, 240, 0.88
220, 230, 240, 0.89
220, 230, 240, 0.90
220, 230, 240, 0.91
220, 230, 240, 0.92
220, 230, 240, 0.93
220, 230, 240, 0.94
220, 230, 240, 0.95
220, 230, 240, 0.96
220, 230, 240, 0.97
220, 230, 240, 0.98
220, 230, 240, 0.99
220, 230, 240, 1.0
