
------------------------------------------------
Spectral Mapping: meris to modis
------------------------------------------------

Dr. Said Kharbouche
ImagingGroup.MSSL.UCL
2016-06-08 16:12:21









##############################################################################
>>> polynom_2nd_order, SnowNoSnow, non-vegetated_land, sur_refl_b04_1
##############################################################################
sdr_14:sdr_15 11660.0649561
sdr_8:sdr_13 101568.868705
sdr_13:sdr_15 -11677.0819433
sdr_8:sdr_12 -96589.2688899
sdr_11:sdr_14 -5850.84312055
sdr_11:sdr_15 -1452.75479918
sdr_1 -128.638300542
sdr_5:sdr_12 -27585.2911635
sdr_5:sdr_13 20142.1009513
sdr_5:sdr_10 19994.7129535
sdr_5:sdr_11 -1273.22709168
sdr_5:sdr_14 -11590.1514937
sdr_5:sdr_15 -2704.08189511
Intercept 0.343148447925
sdr_13:sdr_14 -2035.02615412
sdr_6:sdr_15 6762.63898562
sdr_6:sdr_14 -19736.0384131
sdr_6:sdr_13 15123.9964875
sdr_6:sdr_12 -12629.7282115
sdr_6:sdr_11 -1350.12459309
sdr_6:sdr_10 16466.8393698
sdr_1:sdr_14 -7543.15296242
sdr_1:sdr_15 11051.6957398
sdr_1:sdr_12 1669.59355861
sdr_1:sdr_13 -3875.2548433
sdr_1:sdr_10 14966.3792553
sdr_1:sdr_11 -848.477080889
sdr_7:sdr_10 -111092.708008
sdr_7:sdr_11 -4110.61537208
sdr_7:sdr_12 127599.922027
sdr_7:sdr_13 -174527.71391
sdr_7:sdr_14 148167.844922
sdr_7:sdr_15 -6223.91319293
sdr_3:sdr_14 -18453.2070319
sdr_3:sdr_15 -16970.2452883
sdr_3:sdr_10 30190.3485186
sdr_3:sdr_11 -1850.31084406
sdr_3:sdr_12 -78634.0043629
sdr_3:sdr_13 43652.0191791
sdr_2:sdr_13 -30740.5615756
sdr_2:sdr_12 35348.3899067
sdr_2:sdr_11 -264.239553667
sdr_2:sdr_10 -43897.9324752
sdr_2:sdr_15 -12781.1658815
sdr_2:sdr_14 38851.7860642
sdr_10:sdr_15 8294.14190846
sdr_10:sdr_14 76568.2727329
sdr_10:sdr_11 -1639.40936614
sdr_10:sdr_13 -98722.2433499
sdr_10:sdr_12 6922.96128038
sdr_2:sdr_9 40657.5515921
sdr_2:sdr_8 -100573.265722
sdr_2:sdr_7 80336.4956291
sdr_2:sdr_6 -7069.92402518
sdr_2:sdr_5 6584.86675608
sdr_2:sdr_4 -17517.6562376
sdr_2:sdr_3 8429.98649683
sdr_4:sdr_5 -10050.333012
sdr_4:sdr_7 232380.073482
sdr_4:sdr_6 -31222.2978395
sdr_4:sdr_9 -129676.987017
sdr_4:sdr_8 -107085.233244
sdr_12:sdr_15 -4955.83540269
sdr_12:sdr_14 -41214.9150721
sdr_12:sdr_13 56241.7271944
sdr_6:sdr_7 2591.4086499
sdr_11:sdr_12 -647.231206862
sdr_6:sdr_9 -18074.0742555
sdr_6:sdr_8 9627.67873704
sdr_11:sdr_13 7581.65894635
sdr_7:sdr_8 -12122.484311
sdr_7:sdr_9 37288.4524873
sdr_15 84.7960819657
sdr_14 -392.26977041
sdr_3:sdr_8 165683.369275
sdr_3:sdr_9 115837.248766
sdr_11 -43.1728708169
sdr_10 775.179431668
sdr_13 405.249254451
sdr_12 -772.291279928
sdr_3:sdr_6 28312.0742063
sdr_3:sdr_7 -278494.341249
sdr_3:sdr_4 3846.86303951
sdr_3:sdr_5 10994.2745133
sdr_5 60.4811445566
sdr_4 -354.516504069
sdr_7 -1228.5985147
sdr_6 105.271040382
sdr_1:sdr_8 27257.4122074
sdr_1:sdr_9 -45364.845755
sdr_3 376.211483613
sdr_2 77.3948554118
sdr_1:sdr_4 17687.3965335
sdr_1:sdr_5 -8063.68269474
sdr_1:sdr_6 2328.61924003
